Target: 192.168.1.10 - SEHome-PC
Time range: From: 8/25/2015 8:08:07 PM to: 8/27/2015 8:08:07 PM
Usage stats:
User download usage (mb): 732.98 mb
Packets requested by user: 4,183,287.00
User upload usage (mb): 2,217,456.00
Packets sent by user: 2,217,456.00
Total download utilizatin (mb): 3,619.78 mb
Total Packets requested: 11,890,838.00
Bandwidth usage percentage: 20.25
Packets usage percentage: 35.18
8/26/2015 10:32:33 PM	, 		, 	http://download-cdn.gfe.nvidia.com/packages/StreamingAssets/production/counter_strike_source/19900280/00007D1F/0.dat
8/26/2015 10:32:33 PM	, 		, 	http://download-cdn.gfe.nvidia.com/packages/StreamingAssets/production/half_life_2/19900280/00007D25/0.dat
8/26/2015 10:32:34 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 10:33:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,603,603,0&db_conn=1,0,0,0,0
8/26/2015 10:33:08 PM	, 	allow	, 	http://crl.microsoft.com/pki/crl/products/MicrosoftTimeStampPCA.crl
8/26/2015 10:33:08 PM	, 	allow	, 	http://crl.microsoft.com/pki/crl/products/microsoftrootcert.crl
8/26/2015 10:33:09 PM	, 	allow	, 	http://crl.microsoft.com/pki/crl/products/MicCodSigPCA_08-31-2010.crl
8/26/2015 10:34:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,659,659,0&db_conn=1,0,0,0,0
8/26/2015 10:35:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,567,567,0&db_conn=1,0,0,0,0
8/26/2015 10:35:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/346110/sha/7512f373bce82df4c47a6c4d47b8961cda4432cc.txt.gz
8/26/2015 10:36:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,594,594,0&db_conn=1,0,0,0,0
8/26/2015 10:36:42 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 10:37:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,614,614,0&db_conn=1,0,0,0,0
8/26/2015 10:38:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,320,320,0&db_conn=1,0,0,0,0
8/26/2015 10:39:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,520,520,0&db_conn=1,0,0,0,0
8/26/2015 10:40:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,635,635,0&db_conn=1,0,0,0,0
8/26/2015 10:41:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,545,545,0&db_conn=1,0,0,0,0
8/26/2015 10:42:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,565,565,0&db_conn=1,0,0,0,0
8/26/2015 10:42:12 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 10:42:12 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 10:43:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,354,354,0&db_conn=1,0,0,0,0
8/26/2015 10:44:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,546,546,0&db_conn=1,0,0,0,0
8/26/2015 10:44:20 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 10:45:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,551,551,0&db_conn=1,0,0,0,0
8/26/2015 10:46:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,524,524,0&db_conn=1,0,0,0,0
8/26/2015 10:46:42 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 10:47:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,534,534,0&db_conn=1,0,0,0,0
8/26/2015 10:48:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,630,630,0&db_conn=1,0,0,0,0
